Match Number,Date,Location,Opponent,Score,Competition
1,07-10-2000,Home,Germany,7-10,World Cup
2,11-10-2000,Home,Finland,11-10,World Cup
3,15-11-2000,Home,Italy,15-11,International Match
4,06-10-2001,Home,Greece,6-10,World Cup
5,10-11-2001,Home,Sweden,10-11,International Match
6,12-10-2002,Home,Slovakia,12-10,European Championship
7,16-10-2002,Home,Macedonia,16-10,European Championship
8,11-10-2003,Home,Turkey,11-10,European Championship
9,16-11-2003,Home,Denmark,16-11,International Match
10,09-10-2004,Home,Wales,9-10,World Cup
11,13-10-2004,Home,Azerbaijan,13-10,World Cup
12,17-11-2004,Home,Spain,17-11,International Match
13,08-10-2005,Home,Austria,8-10,World Cup
14,12-10-2005,Home,Poland,12-10,World Cup
15,12-11-2005,Home,Argentina,12-11,International Match
16,07-10-2006,Home,Macedonia,7-10,European Championship
17,11-10-2006,Home,Croatia,11-10,European Championship
18,15-11-2006,Home,Netherlands,15-11,International Match
19,13-10-2007,Home,Estonia,13-10,European Championship
20,17-10-2007,Home,Russia,17-10,European Championship
21,16-11-2007,Home,Austria,16-11,International Match
22,21-11-2007,Home,Croatia,21-11,European Championship
23,11-10-2008,Home,Kazakhstan,11-10,World Cup
24,15-10-2008,Home,Belarus,15-10,World Cup
25,19-11-2008,Home,Germany,19-11,International Match
26,10-10-2009,Home,Ukraine,10-10,World Cup
27,14-10-2009,Home,Belarus,14-10,World Cup
28,14-11-2009,Home,Brazil,14-11,International Match
29,12-10-2010,Home,Montenegro,12-10,European Championship
30,17-11-2010,Home,France,17-11,International Match
31,07-10-2011,Home,Montenegro,7-10,European Championship
32,12-11-2011,Home,Spain,12-11,International Match
33,15-11-2011,Home,Sweden,15-11,International Match
34,12-10-2012,Home,San Marino,12-10,World Cup
35,17-10-2012,Home,Poland,17-10,World Cup
36,14-11-2012,Home,Sweden,14-11,International Match
37,11-10-2013,Home,Montenegro,11-10,World Cup
38,15-10-2013,Home,Poland,15-10,World Cup
39,15-11-2013,Home,Chile,15-11,International Match
40,19-11-2013,Home,Germany,19-11,International Match
41,09-10-2014,Home,San Marino,9-10,European Championship
42,12-10-2014,Home,Estonia,12-10,European Championship
43,15-11-2014,Home,Slovenia,15-11,European Championship
44,18-11-2014,Home,Scotland,18-11,International Match
45,09-10-2015,Home,Estonia,9-10,European Championship
46,12-10-2015,Home,Lithuania,12-10,European Championship
47,13-11-2015,Home,Spain,13-11,International Match
48,17-11-2015,Home,France,17-11,International Match
49,08-10-2016,Home,Malta,8-10,World Cup
50,11-10-2016,Home,Slovenia,11-10,World Cup
51,11-11-2016,Home,Scotland,11-11,World Cup
52,15-11-2016,Home,Spain,15-11,International Match
53,05-10-2017,Home,Slovenia,5-10,World Cup
54,08-10-2017,Home,Lithuania,8-10,World Cup
55,10-11-2017,Home,Germany,10-11,International Match
56,14-11-2017,Home,Brazil,14-11,International Match
57,12-10-2018,Home,Croatia,12-10,International Match
58,15-10-2018,Home,Spain,15-10,International Match
59,15-11-2018,Home,United States,15-11,International Match
60,18-11-2018,Home,Croatia,18-11,International Match
61,11-10-2019,Home,Czech Republic,11-10,European Championship
62,14-10-2019,Home,Bulgaria,14-10,European Championship
63,14-11-2019,Home,Montenegro,14-11,European Championship
64,17-11-2019,Home,Kosovo,17-11,European Championship
65,08-10-2020,Home,Wales,8-10,International Match
66,11-10-2020,Home,Belgium,11-10,International Match
67,14-10-2020,Home,Denmark,14-10,International Match
68,12-11-2020,Home,Ireland,12-11,International Match
69,15-11-2020,Home,Belgium,15-11,International Match
70,18-11-2020,Home,Iceland,18-11,International Match
71,09-10-2021,Home,Andorra,9-10,World Cup
72,12-10-2021,Home,Hungary,12-10,World Cup
73,12-11-2021,Home,Albania,12-11,World Cup
74,15-11-2021,Home,San Marino,15-11,World Cup
75,21-11-2022,Home,Iran,21-11,World Cup
76,25-11-2022,Home,United States,25-11,World Cup
77,29-11-2022,Home,Wales,29-11,World Cup
78,04-12-2022,Home,Senegal,4-12,World Cup
79,10-12-2022,Home,France,10-12,World Cup
80,13-10-2023,Home,Australia,13-10,International Match
81,17-10-2023,Home,Italy,17-10,European Championship
82,17-11-2023,Home,Malta,17-11,European Championship
83,20-11-2023,Home,Macedonia,20-11,European Championship
84,10-10-2024,Home,Greece,10-10,International Match
85,13-10-2024,Home,Finland,13-10,International Match
86,14-11-2024,Home,Greece,14-11,International Match
87,17-11-2024,Home,Ireland,17-11,International Match
