Match Number,Date,Location,Opponent,Score,Competition
1,04-10-2000,Home,Cameroon,4-10,International Match
2,07-10-2000,Home,South Africa,7-10,International Match
3,15-11-2000,Home,Turkey,15-11,International Match
4,07-10-2001,Home,Algeria,7-10,International Match
5,11-11-2001,Home,Australia,11-11,International Match
6,12-10-2002,Home,Slovenia,12-10,European Championship
7,16-10-2002,Home,Malta,16-10,European Championship
8,20-11-2002,Home,Yugoslavia,20-11,International Match
9,11-10-2003,Home,Israel,11-10,European Championship
10,15-11-2003,Home,Germany,15-11,International Match
11,09-10-2004,Home,Ireland,9-10,World Cup
12,13-10-2004,Home,Cyprus,13-10,World Cup
13,17-11-2004,Home,Poland,17-11,International Match
14,08-10-2005,Home,Switzerland,8-10,World Cup
15,12-10-2005,Home,Cyprus,12-10,World Cup
16,09-11-2005,Home,Costa Rica,9-11,International Match
17,12-11-2005,Home,Germany,12-11,International Match
18,07-10-2006,Home,Scotland,7-10,European Championship
19,11-10-2006,Home,Faroe Islands,11-10,European Championship
20,15-11-2006,Home,Greece,15-11,International Match
21,13-10-2007,Home,Faroe Islands,13-10,European Championship
22,17-10-2007,Home,Lithuania,17-10,European Championship
23,16-11-2007,Home,Morocco,16-11,International Match
24,21-11-2007,Home,Ukraine,21-11,European Championship
25,11-10-2008,Home,Romania,11-10,World Cup
26,14-10-2008,Home,Tunisia,14-10,International Match
27,19-11-2008,Home,Uruguay,19-11,International Match
28,10-10-2009,Home,Faroe Islands,10-10,World Cup
29,14-10-2009,Home,Austria,14-10,World Cup
30,14-11-2009,Home,Ireland,14-11,World Cup
31,18-11-2009,Home,Ireland,18-11,World Cup
32,08-10-2010,Home,Romania,8-10,European Championship
33,12-10-2010,Home,Luxembourg,12-10,European Championship
34,17-11-2010,Home,England,17-11,International Match
35,07-10-2011,Home,Albania,7-10,European Championship
36,11-10-2011,Home,Bosnia,11-10,European Championship
37,11-11-2011,Home,United States,11-11,International Match
38,15-11-2011,Home,Belgium,15-11,International Match
39,12-10-2012,Home,Japan,12-10,International Match
40,16-10-2012,Home,Spain,16-10,World Cup
41,14-11-2012,Home,Italy,14-11,International Match
42,11-10-2013,Home,Australia,11-10,International Match
43,15-10-2013,Home,Finland,15-10,World Cup
44,15-11-2013,Home,Ukraine,15-11,World Cup
45,19-11-2013,Home,Ukraine,19-11,World Cup
46,11-10-2014,Home,Portugal,11-10,International Match
47,14-10-2014,Home,Armenia,14-10,International Match
48,14-11-2014,Home,Albania,14-11,International Match
49,18-11-2014,Home,Sweden,18-11,International Match
50,08-10-2015,Home,Armenia,8-10,International Match
51,11-10-2015,Home,Denmark,11-10,International Match
52,13-11-2015,Home,Germany,13-11,International Match
53,17-11-2015,Home,England,17-11,International Match
54,07-10-2016,Home,Bulgaria,7-10,World Cup
55,10-10-2016,Home,Netherlands,10-10,World Cup
56,11-11-2016,Home,Sweden,11-11,World Cup
57,15-11-2016,Home,Unknown,15-11,International Match
58,07-10-2017,Home,Bulgaria,7-10,World Cup
59,10-10-2017,Home,Belarus,10-10,World Cup
60,10-11-2017,Home,Wales,10-11,International Match
61,14-11-2017,Home,Germany,14-11,International Match
62,12-10-2018,Home,Iceland,12-10,International Match
63,16-10-2018,Home,Germany,16-10,International Match
64,16-11-2018,Home,Netherlands,16-11,International Match
65,20-11-2018,Home,Uruguay,20-11,International Match
66,11-10-2019,Home,Iceland,11-10,European Championship
67,14-10-2019,Home,Turkey,14-10,European Championship
68,14-11-2019,Home,Moldova,14-11,European Championship
69,17-11-2019,Home,Albania,17-11,European Championship
70,07-10-2020,Home,Ukraine,7-10,International Match
71,11-10-2020,Home,Portugal,11-10,International Match
72,14-10-2020,Home,Croatia,14-10,International Match
73,11-11-2020,Home,Finland,11-11,International Match
74,14-11-2020,Home,Portugal,14-11,International Match
75,17-11-2020,Home,Sweden,17-11,International Match
76,07-10-2021,Home,Belgium,7-10,International Match
77,10-10-2021,Home,Spain,10-10,International Match
78,13-11-2021,Home,Kazakhstan,13-11,World Cup
79,16-11-2021,Home,Finland,16-11,World Cup
80,22-11-2022,Home,Australia,22-11,World Cup
81,26-11-2022,Home,Denmark,26-11,World Cup
82,30-11-2022,Home,Tunisia,30-11,World Cup
83,04-12-2022,Home,Poland,4-12,World Cup
84,10-12-2022,Home,England,10-12,World Cup
85,14-12-2022,Home,Morocco,14-12,World Cup
86,18-12-2022,Home,Argentina,18-12,World Cup
87,13-10-2023,Home,Netherlands,13-10,European Championship
88,17-10-2023,Home,Scotland,17-10,International Match
89,18-11-2023,Home,Unknown,18-11,European Championship
90,21-11-2023,Home,Greece,21-11,European Championship
91,10-10-2024,Home,Israel,10-10,International Match
92,14-10-2024,Home,Belgium,14-10,International Match
93,14-11-2024,Home,Israel,14-11,International Match
94,17-11-2024,Home,Italy,17-11,International Match
