Match Number,Date,Location,Opponent,Score,Competition
1,07-10-2000,Home,England,1-0,World Cup
2,15-11-2000,Home,Denmark,1-2,International Match
3,06-10-2001,Home,Finland,0-0,World Cup
4,10-11-2001,Home,Ukraine,1-1,World Cup
5,14-11-2001,Home,Ukraine,4-1,World Cup
6,11-10-2002,Home,Bosnia,1-1,International Match
7,16-10-2002,Home,Faroe Islands,2-1,European Championship
8,20-11-2002,Home,Netherlands,1-3,International Match
9,11-10-2003,Home,Iceland,3-0,European Championship
10,15-11-2003,Home,France,0-3,International Match
11,09-10-2004,Home,Iran,2-0,International Match
12,17-11-2004,Home,Cameroon,3-0,International Match
13,16-12-2004,Home,Japan,3-0,International Match
14,19-12-2004,Home,South Korea,1-3,International Match
15,21-12-2004,Home,Thailand,5-1,International Match
16,08-10-2005,Home,Turkey,1-2,International Match
17,12-10-2005,Home,China,1-0,International Match
18,12-11-2005,Home,France,0-0,International Match
19,07-10-2006,Home,Georgia,2-0,International Match
20,11-10-2006,Home,Slovakia,4-1,European Championship
21,15-11-2006,Home,Cyprus,1-1,European Championship
22,13-10-2007,Home,Ireland,0-0,European Championship
23,17-10-2007,Home,Czech Republic,0-3,European Championship
24,17-11-2007,Home,Cyprus,4-0,European Championship
25,21-11-2007,Home,Wales,0-0,European Championship
26,11-10-2008,Home,Russia,2-1,World Cup
27,15-10-2008,Home,Wales,1-0,World Cup
28,19-11-2008,Home,England,1-2,International Match
29,10-10-2009,Home,Russia,1-0,World Cup
30,14-10-2009,Home,Finland,1-1,World Cup
31,18-11-2009,Home,Unknown,2-2,International Match
32,08-10-2010,Home,Turkey,3-0,European Championship
33,12-10-2010,Home,Kazakhstan,3-0,European Championship
34,17-11-2010,Home,Sweden,0-0,International Match
35,07-10-2011,Home,Turkey,3-1,European Championship
36,11-10-2011,Home,Belgium,3-1,European Championship
37,11-11-2011,Home,Ukraine,3-3,International Match
38,15-11-2011,Home,Netherlands,3-0,International Match
39,12-10-2012,Home,Ireland,6-1,World Cup
40,16-10-2012,Home,Sweden,4-4,World Cup
41,14-11-2012,Home,Netherlands,0-0,International Match
42,11-10-2013,Home,Ireland,3-0,World Cup
43,15-10-2013,Home,Sweden,5-3,World Cup
44,15-11-2013,Home,Italy,1-1,International Match
45,19-11-2013,Home,England,1-0,International Match
46,11-10-2014,Home,Poland,0-2,European Championship
47,14-10-2014,Home,Ireland,1-1,European Championship
48,14-11-2014,Home,Unknown,4-0,European Championship
49,18-11-2014,Home,Spain,1-0,International Match
50,08-10-2015,Home,Ireland,0-1,European Championship
51,11-10-2015,Home,Georgia,2-1,European Championship
52,13-11-2015,Home,France,0-2,International Match
53,08-10-2016,Home,Czech Republic,3-0,World Cup
54,11-10-2016,Home,Ireland,2-0,World Cup
55,11-11-2016,Home,San Marino,8-0,World Cup
56,15-11-2016,Home,Italy,0-0,International Match
57,05-10-2017,Home,Ireland,3-1,World Cup
58,08-10-2017,Home,Azerbaijan,5-1,World Cup
59,10-11-2017,Home,England,0-0,International Match
60,14-11-2017,Home,France,2-2,International Match
61,13-10-2018,Home,Netherlands,0-3,International Match
62,16-10-2018,Home,France,1-2,International Match
63,15-11-2018,Home,Russia,3-0,International Match
64,19-11-2018,Home,Netherlands,2-2,International Match
65,09-10-2019,Home,Argentina,2-2,International Match
66,13-10-2019,Home,Estonia,3-0,European Championship
67,16-11-2019,Home,Belarus,4-0,European Championship
68,19-11-2019,Home,Ireland,6-1,European Championship
69,07-10-2020,Home,Turkey,3-3,International Match
70,10-10-2020,Home,Ukraine,2-1,International Match
71,13-10-2020,Home,Switzerland,3-3,International Match
72,11-11-2020,Home,Czech Republic,1-0,International Match
73,14-11-2020,Home,Ukraine,3-1,International Match
74,17-11-2020,Home,Spain,0-6,International Match
75,08-10-2021,Home,Romania,2-1,World Cup
76,11-10-2021,Home,Macedonia,4-0,World Cup
77,11-11-2021,Home,Liechtenstein,9-0,World Cup
78,14-11-2021,Home,Armenia,4-1,World Cup
79,16-11-2022,Home,Oman,1-0,International Match
80,23-11-2022,Away,Japan,1-2,World Cup
81,27-11-2022,Away,Spain,1-1,World Cup
82,01-12-2022,Away,Costa Rica,4-2,World Cup
83,14-10-2023,Home,USA,3-1,International Match
84,17-10-2023,Home,USA,2-2,International Match
85,18-11-2023,Home,Turkey,2-3,International Match
86,21-11-2023,Home,Austria,0-2,International Match
87,11-10-2024,Home,Bosnia,2-1,International Match
88,14-10-2024,Home,Netherlands,1-0,International Match
89,16-11-2024,Home,Bosnia,7-0,International Match
90,19-11-2024,Home,Hungary,1-1,International Match
