Match Number,Date,Location,Opponent,Score,Competition
1,26-01-2000,Home,Poland,26-01,International Match
2,23-02-2000,Home,Croatia,23-02,International Match
3,29-03-2000,Home,Italy,29-03,International Match
4,03-06-2000,Home,Sweden,03-06,International Match
5,07-06-2000,Home,Luxembourg,07-06,International Match
6,13-06-2000,Home,Belgium,13-06,International Match
7,18-06-2000,Home,Belgium,18-06,International Match
8,21-06-2000,Home,Belgium,21-06,International Match
9,25-06-2000,Home,Belgium,25-06,International Match
10,16-08-2000,Home,Germany,16-08,International Match
11,02-09-2000,Home,Bosnia,02-09,International Match
12,07-10-2000,Home,Israel,07-10,International Match
13,11-10-2000,Home,Austria,11-10,International Match
14,15-11-2000,Home,Netherlands,1-2,International Match
15,28-02-2001,Home,England,3-0,International Match
16,24-03-2001,Home,Liechtenstein,5-0,International Match
17,28-03-2001,Home,France,2-1,International Match
18,25-04-2001,Home,Japan,1-0,International Match
19,02-06-2001,Home,Bosnia,4-1,International Match
20,06-06-2001,Home,Israel,1-1,International Match
21,01-09-2001,Home,Austria,4-0,International Match
22,05-09-2001,Home,Liechtenstein,05-09,International Match
23,14-11-2001,Home,Mexico,1-0,International Match
24,13-02-2002,Home,Portugal,1-1,International Match
25,27-03-2002,Home,Netherlands,1-0,International Match
26,17-04-2002,Home,Ireland,0-5,International Match
27,02-06-2002,Home,Japan,3-1,International Match
28,07-06-2002,Home,Japan,3-1,International Match
29,12-06-2002,Home,Japan,2-3,International Match
30,16-06-2002,Home,Ireland,16-06,International Match
31,22-06-2002,Home,Japan,22-06,International Match
32,21-08-2002,Home,Hungary,1-1,International Match
33,07-09-2002,Home,Greece,0-2,International Match
34,12-10-2002,Home,Ireland,3-0,International Match
35,16-10-2002,Home,Paraguay,0-0,International Match
36,20-11-2002,Home,Bulgaria,1-0,International Match
37,12-02-2003,Home,Germany,3-1,International Match
38,29-03-2003,Home,Ukraine,2-2,International Match
39,02-04-2003,Home,Armenia,3-0,International Match
40,30-04-2003,Home,Ecuador,4-0,International Match
41,07-06-2003,Home,Greece,0-1,International Match
42,11-06-2003,Home,Ireland,0-0,International Match
43,06-09-2003,Home,Portugal,0-3,International Match
44,10-09-2003,Home,Ukraine,2-1,International Match
45,11-10-2003,Home,Armenia,0-4,International Match
46,14-11-2003,Home,Norway,2-1,International Match
47,19-11-2003,Home,Norway,0-3,International Match
48,18-02-2004,Home,Peru,2-1,International Match
49,31-03-2004,Home,Denmark,2-0,International Match
50,28-04-2004,Home,Italy,1-1,International Match
51,12-06-2004,Home,Portugal,1-0,International Match
52,16-06-2004,Home,Greece,1-1,International Match
53,20-06-2004,Home,Portugal,1-0,International Match
54,18-08-2004,Home,Venezuela,3-2,International Match
55,03-09-2004,Home,Scotland,1-1,International Match
56,08-09-2004,Home,Bosnia,1-1,International Match
