Match Number,Date,Location,Opponent,Score,Competition
1,23-02-2000,Home,Norway,0-2,International Match
2,11-06-2000,Home,Italy,2-1,European Championship
3,15-06-2000,Home,Sweden,0-0,European Championship
4,19-06-2000,Home,Belgium,0-2,European Championship
5,24-06-2000,Home,Portugal,2-0,European Championship
6,16-08-2000,Home,Bosnia,2-0,International Match
7,02-09-2000,Home,Moldova,2-0,World Cup
8,07-10-2000,Home,Sweden,1-1,World Cup
9,11-10-2000,Home,Azerbaijan,0-1,World Cup
10,15-11-2000,Home,France,0-4,International Match
11,28-02-2001,Home,Netherlands,0-0,International Match
12,24-03-2001,Home,Slovakia,1-1,World Cup
13,28-03-2001,Home,Macedonia,1-2,World Cup
14,25-04-2001,Home,Albania,0-2,International Match
15,02-06-2001,Home,Azerbaijan,3-0,World Cup
16,06-06-2001,Home,Macedonia,3-3,World Cup
17,15-08-2001,Home,Norway,1-1,International Match
18,01-09-2001,Home,Slovakia,0-1,World Cup
19,05-09-2001,Home,Sweden,1-2,World Cup
20,06-10-2001,Home,Moldova,0-3,World Cup
21,10-11-2001,Home,Austria,0-1,World Cup
22,14-11-2001,Home,Austria,5-0,World Cup
23,12-02-2002,Home,Ecuador,0-1,International Match
24,26-03-2002,Home,South Korea,0-0,International Match
25,17-04-2002,Home,Chile,0-2,International Match
26,20-05-2002,Home,Unknown,0-2,International Match
27,23-05-2002,Home,South Africa,2-0,International Match
28,03-06-2002,Home,Brazil,2-1,World Cup
29,09-06-2002,Home,Costa Rica,1-1,World Cup
30,13-06-2002,Home,China,0-3,World Cup
31,18-06-2002,Home,Japan,0-1,World Cup
32,22-06-2002,Home,Senegal,0-1,World Cup
33,26-06-2002,Home,Brazil,1-0,World Cup
34,29-06-2002,Home,South Korea,2-3,World Cup
35,21-08-2002,Home,Georgia,3-0,International Match
36,07-09-2002,Home,Slovakia,3-0,European Championship
37,12-10-2002,Home,Macedonia,1-2,European Championship
38,16-10-2002,Home,Liechtenstein,5-0,European Championship
39,20-11-2002,Home,Italy,1-1,International Match
40,12-02-2003,Home,Ukraine,0-0,International Match
41,02-04-2003,Home,England,2-0,European Championship
42,30-04-2003,Home,Czech Republic,4-0,International Match
43,07-06-2003,Home,Slovakia,0-1,European Championship
44,11-06-2003,Home,Macedonia,3-2,European Championship
45,19-06-2003,Home,United States,1-2,International Match
46,21-06-2003,Home,Cameroon,1-0,International Match
47,23-06-2003,Home,Brazil,2-2,International Match
48,26-06-2003,Home,France,3-2,International Match
49,28-06-2003,Home,Colombia,1-2,International Match
50,20-08-2003,Home,Moldova,2-0,International Match
51,06-09-2003,Home,Liechtenstein,0-3,European Championship
52,09-09-2003,Home,Ireland,2-2,International Match
53,11-10-2003,Home,England,0-0,European Championship
54,15-11-2003,Home,Latvia,1-0,European Championship
55,19-11-2003,Home,Latvia,2-2,European Championship
56,18-02-2004,Home,Denmark,0-1,International Match
57,31-03-2004,Home,Croatia,2-2,International Match
58,28-04-2004,Home,Belgium,2-3,International Match
59,21-05-2004,Home,Australia,1-3,International Match
60,24-05-2004,Home,Australia,0-1,International Match
61,02-06-2004,Home,South Korea,0-1,International Match
62,05-06-2004,Home,South Korea,2-1,International Match
63,18-08-2004,Home,Belarus,1-2,International Match
64,04-09-2004,Home,Georgia,1-1,World Cup
65,08-09-2004,Home,Greece,0-0,World Cup
66,09-10-2004,Home,Kazakhstan,4-0,World Cup
67,13-10-2004,Home,Denmark,1-1,World Cup
68,17-11-2004,Home,Ukraine,0-3,World Cup
69,26-03-2005,Home,Albania,2-0,World Cup
70,30-03-2005,Home,Georgia,2-5,World Cup
71,04-06-2005,Home,Greece,0-0,World Cup
72,08-06-2005,Home,Kazakhstan,0-6,World Cup
73,17-08-2005,Home,Bulgaria,3-1,International Match
74,03-09-2005,Home,Denmark,2-2,World Cup
75,07-09-2005,Home,Ukraine,0-1,World Cup
76,08-10-2005,Home,Germany,2-1,International Match
77,12-10-2005,Home,Albania,0-1,World Cup
78,12-11-2005,Home,Switzerland,2-0,World Cup
79,16-11-2005,Home,Switzerland,4-2,World Cup
80,01-03-2006,Home,Czech Republic,2-2,International Match
81,12-04-2006,Home,Azerbaijan,1-1,International Match
82,24-05-2006,Home,Belgium,3-3,International Match
83,26-05-2006,Home,Ghana,1-1,International Match
84,28-05-2006,Home,Estonia,1-1,International Match
85,31-05-2006,Home,Saudi Arabia,0-1,International Match
86,02-06-2006,Home,Angola,2-3,International Match
87,04-06-2006,Home,Macedonia,1-0,International Match
88,16-08-2006,Home,Luxembourg,0-1,International Match
89,06-09-2006,Home,Malta,2-0,European Championship
90,07-10-2006,Home,Hungary,0-1,European Championship
91,11-10-2006,Home,Moldova,5-0,European Championship
92,15-11-2006,Home,Italy,1-1,International Match
93,07-02-2007,Home,Georgia,1-0,International Match
94,24-03-2007,Home,Greece,1-4,European Championship
95,28-03-2007,Home,Norway,2-2,European Championship
96,02-06-2007,Home,Bosnia,3-2,European Championship
97,05-06-2007,Home,Brazil,0-0,International Match
98,22-08-2007,Home,Romania,2-0,International Match
99,08-09-2007,Home,Malta,2-2,European Championship
100,12-09-2007,Home,Hungary,3-0,European Championship
101,13-10-2007,Home,Moldova,1-1,European Championship
102,17-10-2007,Home,Greece,0-1,European Championship
103,17-11-2007,Home,Norway,1-2,European Championship
104,21-11-2007,Home,Bosnia,1-0,European Championship
105,06-02-2008,Home,Sweden,0-0,International Match
106,26-03-2008,Home,Belarus,2-2,International Match
107,20-05-2008,Home,Slovakia,0-1,International Match
108,25-05-2008,Home,Uruguay,3-2,International Match
109,29-05-2008,Home,Finland,0-2,International Match
110,07-06-2008,Home,Portugal,2-0,European Championship
111,11-06-2008,Home,Switzerland,1-2,European Championship
112,15-06-2008,Home,Czech Republic,2-3,European Championship
113,20-06-2008,Home,Croatia,1-1,European Championship
114,25-06-2008,Home,Germany,3-2,European Championship
115,20-08-2008,Home,Chile,1-0,International Match
116,06-09-2008,Home,Armenia,0-2,World Cup
117,10-09-2008,Home,Belgium,1-1,World Cup
